short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie,Floors,Measured Height,
TOLE-001,Ne,0,0,150.49,,,
TOLE-002,Ne,0,0,458.35,,,
TOLE-003,Nr,0,0,144.34,,,
TOLE-004,Nr,5.62,1.15,66.79,,,
TOLE-005,Nr,11.79,1.15,222.04,,,
TOLE-006,B,0,0,74.21,,,
TOLE-007,Or,6.66,1.25,71.18,,,
TOLE-008,A1,6.67,1.25,68.94,,,
TOLE-009,B,7.02,1.25,111.53,,,
TOLE-010,A1,6.76,1.25,47.44,,,
TOLE-011,A,7.25,1.25,40.92,,,
TOLE-012,A1,13.45,1.15,250.47,,,
TOLE-013,Or,10.53,1.15,141.62,,,
TOLE-014,Nr,17.98,1.25,772.39,,,
TOLE-015,Nr,17.62,1.05,583.07,,,
TOLE-016,O,10.24,1.05,106.34,,,
TOLE-017,O,9.87,1.35,117.52,,,
TOLE-018,O,13.12,1.35,103.65,,,
TOLE-019,Nr,0,1.45,294.8,,,
TOLE-020,Nr,0,1.15,304.51,,,
TOLE-021,Nr,0,1.35,477.37,5,17.5,
TOLE-022,A,0,1.15,41.17,,,
TOLE-023,A,0,1.15,38.21,,,
TOLE-024,A,0,1.15,47.72,,,
TOLE-025,Nd,0,0,13.27,,,
TOLE-026,Nd,0,0,13.68,,,
TOLE-027,Nd,0,1.05,116.89,,,
TOLE-028,Ne,0,1.05,143.53,,,
TOLE-029,Kt,0,1.05,66.27,,,
TOLE-030,B,0,1.05,261.99,,,
TOLE-031,A,0,0.85,104.28,,,
TOLE-032,B1,0,0.85,42.96,1,2.6,
TOLE-033,fa,8.4,0.85,45.63,,,
TOLE-034,C,9999,0.65,916.89,,,
TOLE-035,B,9999,0.65,906.37,,,
TOLE-036,C,9999,0.75,732.69,,,
TOLE-037,A1,9999,0.75,458.37,,,
TOLE-038,B1,9999,0.75,276.89,,,
TOLE-039,B1,0,0.85,68.29,,,
TOLE-040,B1,9999,0.75,29239.15,,,
TOLE-041,B,9999,0.75,29181.58,,,
TOLE-042,,0,0.85,147.93,,,
TOLE-043,Bg,11.4,0.85,102.05,,,
TOLE-044,Bg,9999,0.85,12358.54,,,
TOLE-045,C,0,0,191.71,,,
TOLE-046,B,9999,0,1480.21,,,
TOLE-047,A1,9999,0.75,763.14,,,
TOLE-048,,7.47,0.75,45.56,,,
TOLE-049,A1,11.08,0.75,36.8,,,
TOLE-050,C,9999,0.75,11840.32,,,
TOLE-051,Nd,9999,0.75,10643.31,4,15.1,hotel
TOLE-052,Nr,11.29,0.75,133.65,,,
TOLE-053,B,8.54,0.75,192.74,,,
TOLE-054,B,3.19,0.85,14.29,,,
TOLE-055,Nd,10.9,0.85,83.83,3,9.8,
TOLE-056,B,4,0.85,15.09,,,
TOLE-057,A,6.95,0.85,46.95,,,
TOLE-058,A,9.63,0.85,57.69,,,
TOLE-059,A,9.69,0.75,24.78,,,
TOLE-060,A,0,0,22.34,,,
TOLE-061,A,0,0,21.03,,,
TOLE-062,Bg,12.55,0.75,110.28,,,
TOLE-063,C,16.72,0.75,418.26,,,
TOLE-064,C,11.79,1.05,155.81,,,
TOLE-065,C,13.54,1.05,83.63,,,
TOLE-066,A1,10.91,1.05,60.14,,,
TOLE-067,B,10.45,1.05,139.19,,,
TOLE-068,fa,14.22,1.05,250.11,,,
TOLE-069,C,9.87,1.05,316.12,,,
TOLE-070,Knt,4.72,1.05,38.52,,,
TOLE-071,Knt,12.9,1.05,541.26,3,13.1,
TOLE-072,Or,8.17,1.05,249.98,,,
TOLE-073,Or,11.38,1.05,96.4,,,
TOLE-074,A1,7.77,1.05,43.69,,,
TOLE-075,Ne,10.12,1.05,147.84,,,
TOLE-076,Ne,14.94,1.05,194.26,,,
TOLE-077,B1,0,0,149.52,4,12.8,
TOLE-078,,0,1.05,14.36,,,
TOLE-079,Bg,12.15,1.05,173.94,,,
TOLE-080,Bg,14.37,1.05,118.18,,,
TOLE-081,B1,0,0,85.92,4,12.8,
TOLE-082,B,13.6,1.05,90.45,,,
TOLE-083,C,6.98,1.05,25.44,,,
TOLE-084,C,14.67,1.05,50.61,,,
TOLE-085,C,11.07,0.75,170.8,,,
TOLE-086,C,11.91,0.75,115.46,,,
TOLE-087,A,13.38,1.05,435.87,,,
TOLE-088,Knt,5.6,1.05,142.34,,,
TOLE-089,fa,8.14,1.05,40.09,,,
TOLE-090,C,12.96,1.05,112.47,,,
TOLE-091,,12.5,1.05,192.23,,,
TOLE-092,C,4.84,1.05,14.39,,,
TOLE-093,fa,12.88,1.05,91.93,,,
TOLE-094,fa,10.62,1.35,98.01,,,
TOLE-095,Or,5.34,1.4,7.53,,,
TOLE-096,B,13.2,0.75,228.22,,,
TOLE-097,B,10.2,0.75,137.01,,,
TOLE-098,B,10.73,0.85,41.78,,,
TOLE-099,C,10.63,0.75,85.04,,,
TOLE-100,Or,8.76,0.75,24.41,,,
TOLE-101,Or,12.6,0.75,146.5,,,
TOLE-102,Ne,8.56,0.75,23.29,,,
TOLE-103,B,0,0,61.12,,,
TOLE-104,A1,9.64,1.05,47.87,,,
TOLE-105,A,10.06,1.05,44.56,,,
TOLE-106,Or,10.03,1.05,25.03,,,
TOLE-107,B,13.4,1.05,25.01,,,
TOLE-108,B,10.11,1.05,24.66,,,
TOLE-109,B,10.3,1.05,32.39,,,
TOLE-110,Or,8.75,1.35,141.87,,,
TOLE-111,Bg,10.63,1.05,112.64,,,
TOLE-112,Bg,0,0,125.11,,,
TOLE-113,Bg,12.73,1.05,117.76,,,
TOLE-114,Bg,0,0,131.15,,,
TOLE-115,Ne,12,1.4,57.26,,,
TOLE-116,Ne,9999,1.15,9474.35,,,
TOLE-117,B,9999,1.15,9493.43,,,
TOLE-118,Nr,4.66,1.67,61.39,,,
TOLE-119,B1,9.63,1.05,68.93,,,
TOLE-120,Nr,8.7,0.95,26.47,,,
TOLE-121,Nr,3.6,0.95,21.04,,,
TOLE-122,Nr,3.54,0.85,38.51,,,
TOLE-123,Nr,15.05,0.75,11.41,,,
TOLE-124,C,14.65,0.75,54.32,,,
TOLE-125,B,0,0,111.37,,,
TOLE-126,A,13.48,0.75,260.38,,,
TOLE-127,Nr,0,0,0,,,
TOLE-128,Knt,0,0,0,,,
TOLE-129,Nd,3.73,1.05,15.49,,,
TOLE-130,Nd,9999,0.85,10659.31,,,
TOLE-131,Nd,4.3,1.25,96.67,,,
TOLE-132,Knt,5.37,1.25,109.33,,,
TOLE-133,Knt,6.98,1.25,132.88,,,
TOLE-134,Nd,0,1.05,372.89,,,
TOLE-135,Nd,9999,0,565.26,,,
TOLE-136,A1,9999,1.15,8509.04,,,
TOLE-137,B,9999,1.15,9511.51,,,
TOLE-138,A,9.3,1.15,44.22,,,
TOLE-139,C,15.3,1.15,161.66,,,
TOLE-140,Nd,0,0,25.25,,,
TOLE-141,Nd,0,0,24.78,,,
TOLE-142,B,0,0,339.45,,,
TOLE-143,Nr,9999,1.15,9403.45,,,
TOLE-144,Nr,6,1.25,224.09,,,
TOLE-145,Nd,4,1.35,29.74,,,
TOLE-146,C,4.34,1.35,20.76,,,
TOLE-147,C,11.65,1.35,121.7,,,
TOLE-148,fa,10.9,1.35,304.79,,,
TOLE-149,B1,9.08,1.05,113.58,,,
TOLE-150,Ne,11.09,1.05,19.87,,,
TOLE-151,Ne,10.2,1.05,23.07,,,
TOLE-152,Ne,7.1,1.05,103.31,,,
TOLE-153,Ne,0,0,100.03,,,
TOLE-154,B1,0,1.05,181.12,,,
TOLE-155,Ne,9.5,1.05,144.16,,,
TOLE-156,Or,11.6,1.05,192.12,,,
TOLE-157,Knt,4.33,1.05,89.7,1,3.3,
TOLE-158,C,0,0,86.41,,,
TOLE-159,C,10.63,1.05,94.39,,,
TOLE-160,Nr,13.64,1.25,144.55,,,
TOLE-161,Nr,0,1.35,33.03,,,
TOLE-162,Nr,13.48,1.05,264.98,,,
TOLE-163,Kna,0,1.05,2422.13,,,
TOLE-164,SU,0,1.05,1476.48,,,
TOLE-165,A1,9.63,0.85,79.65,,,
TOLE-166,,6.41,0.85,43.71,,,
TOLE-167,A,8.65,0.85,40.63,,,
TOLE-168,A,6.66,0.75,44.05,,,
TOLE-169,A1,0,0,54.6,,,
TOLE-170,B1,0,1.05,158.51,2,7.2,
TOLE-171,fa,0,1.05,17.73,,,
TOLE-172,fa,0,1.05,46.57,,,
TOLE-173,A1,0,1.05,34.34,,,
TOLE-174,SP,8,1.05,121.63,,,
TOLE-175,B1,0,1.05,91.65,3,9.6,
TOLE-176,Nr,0,1.25,212.79,,,
TOLE-177,Ne,0,1.15,835.73,5,17.9,
TOLE-178,B,0,1.15,79.33,,,
TOLE-179,B,0,1.15,160.24,,,
TOLE-180,B,0,0,72.83,,,
TOLE-181,pt,0,1.15,85.9,,,
TOLE-182,Ne,0,1.25,71.5,,,
TOLE-183,Nr,0,1.05,84.38,,,
TOLE-184,Nr,0,1.25,247.11,5,16.1,
TOLE-185,B,0,1.05,47.4,,,
TOLE-186,B,0,0,67.1,,,
TOLE-187,Nd,0,1.05,49.56,2,6,
TOLE-188,Ne,0,1.05,347.88,5,15.9,
TOLE-189,Or,0,1.15,162.55,,,
TOLE-190,Or,0,1.15,70.2,,,
TOLE-191,C,0,1.05,104.2,,,
TOLE-192,C,0,1.05,12.98,,,
TOLE-193,C,0,0,232.22,,,
TOLE-194,fa,0,1.05,18.97,,,
TOLE-195,C,0,0,216.89,,,
TOLE-196,A,0,1.05,235.2,,,
TOLE-197,A1,0,1.05,49.56,,,
TOLE-198,Nr,0,1.05,48.48,,,
TOLE-199,C,0,0.95,105.59,,,
TOLE-200,C,0,0,237.7,,,
TOLE-201,C,0,0,200.83,,,
TOLE-202,C,0,0,228.46,,,
TOLE-203,A1,0,1.05,68.84,,,
TOLE-204,A1,0,1.05,31.95,,,
TOLE-205,Ne,0,1.15,72.99,,,
TOLE-206,pt,0,1.05,119.66,,,
TOLE-207,Or,0,1.15,117.44,,,
TOLE-208,A1,0,1.15,62.94,,,
TOLE-209,B,0,0,70.23,,,
TOLE-210,B,0,1.15,52.1,,,
TOLE-211,C,0,0,56.95,,,
TOLE-212,C,0,0,66.05,,,
TOLE-213,C,0,0,73.66,,,
TOLE-214,Ne,0,0.95,466.42,,,
TOLE-215,C,0,0.95,111.6,,,
TOLE-216,Nr,0,0.95,37.5,,,
TOLE-217,B1,0,0.95,84.24,,,
TOLE-218,C,0,0,82.66,,,
TOLE-219,A1,0,0,31.83,,,
TOLE-220,B1,0,0,120.96,3,12,
TOLE-221,B1,0,0,23.47,2,6.4,hotel
TOLE-222,B1,0,0.95,124.81,3,9.2,hotel
TOLE-223,C,0,1.05,237.09,,,
TOLE-224,C,11.7,0.85,79.46,,,
TOLE-225,C,14.4,0.85,155.37,,,
TOLE-226,A1,0,0,38.31,,,
TOLE-227,A1,11,0.85,49.08,,,
TOLE-228,A1,0,0.95,55.31,,,
TOLE-229,D,10.4,0.95,113.33,,,
TOLE-230,pt,12.6,0.95,148.57,,,
TOLE-231,pt,14.4,0.95,113.52,,,
TOLE-232,Nr,15.9,0.95,323.46,4,14.5,
TOLE-233,B1,10.2,0.95,61.11,3,9.6,
TOLE-234,B,13.1,0.95,66.35,,,
TOLE-235,Nr,4.14,1.05,33.45,,,
TOLE-236,Ne,0,1.05,90.77,,,
TOLE-237,B,10,1.05,45.24,,,
TOLE-238,D,0,1.05,242.58,4,13.1,
TOLE-239,Ne,9.2,0.95,61.34,,,
TOLE-240,A,6.1,0.95,14.05,,,
TOLE-241,,9.3,0.95,52.45,,,
TOLE-242,,10,0.95,67.84,,,
TOLE-243,A1,15.1,0.95,262.8,,,
TOLE-244,A1,0,0,32.32,,,
TOLE-245,A1,10.7,0.85,29.49,,,
TOLE-246,B,0,0,32.36,,,
TOLE-247,Or,13,0.85,64.59,,,
TOLE-248,B,14.1,0.85,89.81,,,
TOLE-249,Or,0,0.85,31.34,,,
TOLE-250,Or,0,0.85,24.56,3,9.9,
TOLE-251,B,10.4,0.85,77.6,,,
TOLE-252,,15.7,0.85,331.95,,,
TOLE-253,C,18.6,0.85,605.49,,,
TOLE-254,Or,0,1.15,1034.89,,,
TOLE-255,Nr,8.11,1.15,53.52,,,
TOLE-256,B,7.02,1.15,98.69,,,
TOLE-257,B,10.49,1.15,162.49,,,
TOLE-258,,4,1.25,8.76,,,
TOLE-259,B1,10.5,1.25,231.13,,,
TOLE-260,B,7.08,1.15,85.1,,,
TOLE-261,A,7.08,1.15,69.16,,,
TOLE-262,A,6.18,1.15,27.73,,,
TOLE-263,pt,7,1.15,66.28,,,
TOLE-264,fa,9.09,0.85,56.29,,,
TOLE-265,Nr,3.65,1.35,19.32,,,
TOLE-266,Nr,0,1.35,1379.79,,,
TOLE-267,D,8.35,1.05,107.38,,,
TOLE-268,B,2.34,1.05,35.1,,,
TOLE-269,C,10.01,1.05,31.67,,,
TOLE-270,C,5.34,1.05,19.92,,,
TOLE-271,,9.92,0.95,65.1,,,
TOLE-272,Bg,10.01,0.95,69.61,,,
TOLE-273,A1,14.1,1.05,84.84,,,
TOLE-274,Bg,10.31,1.05,157.09,,,
TOLE-275,B,0,1.35,78.17,,,
TOLE-276,B,0,0,78.22,,,
TOLE-277,pt,12.67,1.25,94.29,,,
TOLE-278,Ne,16.06,1.35,107.97,,,
TOLE-279,Kt,0,1.25,142.81,,,
TOLE-280,B,0,1.35,175.87,,,
TOLE-281,Nr,0,1.35,452.5,,,
TOLE-282,Ne,0,1.35,41.13,,,
TOLE-283,Nr,0,1.55,940.78,3,12.8,
TOLE-284,A,0,1.05,180.6,,,
TOLE-285,B,0,1.15,74.56,,,
TOLE-286,Ne,0,1.15,103.8,,,
TOLE-287,B1,0,0.85,258.39,3,9.2,
TOLE-288,B1,0,0.85,103.32,3,11.7,
TOLE-289,A1,0,0.85,146.51,3,9.2,
TOLE-290,A1,0,0,48.68,,,
TOLE-291,A1,0,0.85,47.27,,,
TOLE-292,A1,0,0.85,63.59,,,
TOLE-293,Nr,0,1.05,21.32,4,12.1,
TOLE-294,Nr,0,0.95,354.57,4,13.4,
TOLE-295,Nr,0,1.45,51.86,,,
TOLE-296,,0,0.95,31.5,,,
TOLE-297,A,0,1.35,84,,,
TOLE-298,A,0,1.35,55.47,,,
TOLE-299,A,0,1.35,66.82,,,
TOLE-300,A1,0,1.35,19.71,,,
TOLE-301,A1,9999,0.95,181.45,,,
TOLE-302,C,9999,0.95,280.09,,,
TOLE-303,C,15,0.75,90.45,,,
TOLE-304,C,9999,0.95,376.37,,,
TOLE-305,Nr,0,1.35,41.38,,,
TOLE-306,Nr,0,1.05,190.84,3,10.1,
TOLE-307,Ne,0,1.35,100.82,,,
TOLE-308,Ne,0,1.05,102.45,,,
TOLE-309,Nr,0,1.35,296.77,,,
TOLE-310,Nr,0,1.15,117.37,3,9.9,
TOLE-311,Nr,0,1.35,126.54,,,
TOLE-312,Ne,0,1.35,323,,,
TOLE-313,C,11.4,1.35,128.11,,,
TOLE-314,C,9999,0.95,1138.35,,,
TOLE-315,C,9999,0.95,518.39,,,
TOLE-316,C,14.26,0.85,203.09,,,
TOLE-317,C,3.5,0.85,201.26,,,
TOLE-318,Nr,0,0.85,1257.87,,,
TOLE-319,Nr,0,0,198.64,,,
TOLE-320,Nr,0,0.85,196.97,,,
TOLE-321,A,0,0,42.86,,,
TOLE-322,A,14.4,0.75,148.04,,,
TOLE-323,Nr,0,0,98.34,,,
TOLE-324,Nd,7.07,1.05,21.24,,,
TOLE-325,Nd,7.36,1.05,39.7,,,
TOLE-326,Kt,7.6,1.25,246.08,,,
TOLE-327,Nr,6.6,1.25,61.16,,,
TOLE-328,B,12.66,1.05,239.19,,,
TOLE-329,,12.62,0.85,73.49,,,
TOLE-330,A1,9.22,0.85,47.87,,,
TOLE-331,Bg,10.06,0.85,50.88,,,
TOLE-332,Bg,0,0,85.67,,,
TOLE-333,Bg,9.7,0.85,91.36,,,
TOLE-334,B,0,0,86.79,,,
TOLE-335,B,16.77,0.75,107.93,,,
TOLE-336,pt,0,0.85,1507.88,,,
TOLE-337,C,9.5,1.05,75.06,,,
TOLE-338,SU,10.33,0.95,42.28,,,
TOLE-339,SU,0,1.05,10.9,,,
TOLE-340,D,11.38,1.05,226.55,,,
TOLE-341,SU,13.26,1.05,144.82,,,
TOLE-342,SU,0,1.05,50.44,,,
TOLE-343,SU,0,0.95,555.24,,,
TOLE-344,SU,16.08,0.95,149.54,,,
TOLE-345,C,16.17,0.85,249.26,,,
TOLE-346,fa,0,0.85,224.33,,,
TOLE-347,pt,13.68,1.15,187.44,,,
TOLE-348,Nr,0,0,335.12,,,
TOLE-349,Nr,0,0,267.33,,,
TOLE-350,Nr,14.38,1.15,255.43,,,
TOLE-351,B,4.13,1.15,128.53,,,
TOLE-352,Nr,18.04,0.95,690.41,,,
TOLE-353,Or,0,1.05,131.09,4,11.4,
TOLE-354,Nr,0,1.05,639.79,5,17,
TOLE-355,Nr,0,1.25,478.44,5,17.9,
TOLE-356,C,14.15,1.05,390.85,,,
TOLE-357,Nr,0,1.15,249.63,6,19.4,
TOLE-358,Nr,0,1.15,389.94,4,12.9,
TOLE-359,Ne,0,1.15,367.95,,,
TOLE-360,Ne,0,1.15,104.08,,,
TOLE~NO_BUILDING,,,,,,,